country_name,country_code,year,under_5_mortality_rate,life_expectancy,tuberculosis_incidence,region
Pakistan,PAK,2022,6.513,67.417,275.0,South Asia
Myanmar,MMR,2010,9.212,63.479,500.0,Southeast Asia
Myanmar,MMR,2011,9.125,63.859,476.0,Southeast Asia
Myanmar,MMR,2012,9.043,64.251,453.0,Southeast Asia
Myanmar,MMR,2013,8.982,64.617,431.0,Southeast Asia
Myanmar,MMR,2014,8.92,64.994,411.0,Southeast Asia
Myanmar,MMR,2015,8.904,65.288,391.0,Southeast Asia
Myanmar,MMR,2016,8.861,65.64,372.0,Southeast Asia
Myanmar,MMR,2017,8.855,65.909,355.0,Southeast Asia
Myanmar,MMR,2018,8.827,66.232,338.0,Southeast Asia
Myanmar,MMR,2019,8.847,66.457,322.0,Southeast Asia
Myanmar,MMR,2020,8.994,66.612,316.0,Southeast Asia
Myanmar,MMR,2021,9.819,65.553,353.0,Southeast Asia
Myanmar,MMR,2022,9.18,66.506,434.0,Southeast Asia
Mozambique,MOZ,2010,11.543,55.04,357.0,Southern Africa
Mozambique,MOZ,2011,11.108,55.733,359.0,Southern Africa
Mozambique,MOZ,2012,10.665,56.46,361.0,Southern Africa
Mozambique,MOZ,2013,10.233,57.189,361.0,Southern Africa
Mozambique,MOZ,2014,9.779,57.965,361.0,Southern Africa
Mozambique,MOZ,2015,9.371,58.711,361.0,Southern Africa
Mozambique,MOZ,2016,8.984,59.455,361.0,Southern Africa
Mozambique,MOZ,2017,8.633,60.148,361.0,Southern Africa
Mozambique,MOZ,2018,8.324,60.79,361.0,Southern Africa
Mozambique,MOZ,2019,8.078,61.306,361.0,Southern Africa
Mozambique,MOZ,2020,8.007,61.39,361.0,Southern Africa
Mozambique,MOZ,2021,8.403,60.268,361.0,Southern Africa
Mozambique,MOZ,2022,7.255,63.011,361.0,Southern Africa
Zimbabwe,ZWE,2010,12.745,51.925,416.0,Southern Africa
Zimbabwe,ZWE,2011,11.694,53.911,384.0,Southern Africa
Zimbabwe,ZWE,2012,10.946,55.386,355.0,Southern Africa
Zimbabwe,ZWE,2013,10.233,56.842,304.0,Southern Africa
Zimbabwe,ZWE,2014,9.621,58.106,278.0,Southern Africa
Zimbabwe,ZWE,2015,9.18,58.989,242.0,Southern Africa
Zimbabwe,ZWE,2016,8.816,59.76,233.0,Southern Africa
Zimbabwe,ZWE,2017,8.587,60.263,221.0,Southern Africa
Zimbabwe,ZWE,2018,8.321,60.906,210.0,Southern Africa
Zimbabwe,ZWE,2019,8.281,61.06,199.0,Southern Africa
Zimbabwe,ZWE,2020,8.138,61.53,189.0,Southern Africa
Zimbabwe,ZWE,2021,8.782,60.135,198.0,Southern Africa
Zimbabwe,ZWE,2022,7.779,62.36,209.0,Southern Africa
"Congo, Dem. Rep.",COD,2010,11.654,56.411,500.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2011,11.367,56.911,490.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2012,11.113,57.35,480.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2013,10.844,57.795,471.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2014,10.595,58.236,461.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2015,10.349,58.658,452.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2016,10.076,59.081,443.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2017,9.867,59.495,434.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2018,9.647,59.926,426.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2019,9.46,60.242,417.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2020,9.31,60.428,409.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2021,9.38,60.044,401.0,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2022,8.93,60.979,392.0,Sub-Saharan Africa
Nigeria,NGA,2010,14.36,51.315,219.0,West Africa
Nigeria,NGA,2011,14.203,51.49,219.0,West Africa
Nigeria,NGA,2012,14.019,51.688,219.0,West Africa
Nigeria,NGA,2013,13.864,51.827,219.0,West Africa
Nigeria,NGA,2014,13.736,51.94,219.0,West Africa
Nigeria,NGA,2015,13.656,51.939,219.0,West Africa
Nigeria,NGA,2016,13.408,52.189,219.0,West Africa
Nigeria,NGA,2017,13.192,52.397,219.0,West Africa
Nigeria,NGA,2018,12.952,52.669,219.0,West Africa
Nigeria,NGA,2019,12.679,53.009,219.0,West Africa
Nigeria,NGA,2020,12.586,53.072,219.0,West Africa
Nigeria,NGA,2021,12.306,53.455,219.0,West Africa
Nigeria,NGA,2022,11.953,54.079,219.0,West Africa
"Somalia, Fed. Rep.",SOM,2010,16.617,48.9,220.0,
"Somalia, Fed. Rep.",SOM,2011,32.124,32.453,204.0,
"Somalia, Fed. Rep.",SOM,2012,16.102,49.138,192.0,
"Somalia, Fed. Rep.",SOM,2013,12.893,54.016,187.0,
"Somalia, Fed. Rep.",SOM,2014,12.637,54.442,188.0,
"Somalia, Fed. Rep.",SOM,2015,12.292,55.056,187.0,
"Somalia, Fed. Rep.",SOM,2016,12.054,55.283,184.0,
"Somalia, Fed. Rep.",SOM,2017,14.073,52.19,182.0,
"Somalia, Fed. Rep.",SOM,2018,12.391,54.767,179.0,
"Somalia, Fed. Rep.",SOM,2019,10.908,57.249,175.0,
"Somalia, Fed. Rep.",SOM,2020,10.834,57.095,171.0,
"Somalia, Fed. Rep.",SOM,2021,11.3,55.703,167.0,
"Somalia, Fed. Rep.",SOM,2022,12.812,53.931,162.0,
"Yemen, Rep.",YEM,2010,5.586,67.223,45.0,
"Yemen, Rep.",YEM,2011,5.474,67.412,42.0,
"Yemen, Rep.",YEM,2012,5.425,67.569,47.0,
"Yemen, Rep.",YEM,2013,5.294,67.961,48.0,
"Yemen, Rep.",YEM,2014,5.29,68.003,43.0,
"Yemen, Rep.",YEM,2015,5.773,66.761,33.0,
"Yemen, Rep.",YEM,2016,5.647,67.105,40.0,
"Yemen, Rep.",YEM,2017,5.644,67.12,40.0,
"Yemen, Rep.",YEM,2018,6.114,65.915,39.0,
"Yemen, Rep.",YEM,2019,5.859,66.567,39.0,
"Yemen, Rep.",YEM,2020,5.832,66.435,33.0,
"Yemen, Rep.",YEM,2021,5.953,66.019,34.0,
"Yemen, Rep.",YEM,2022,5.232,67.952,36.0,
